land_size_acres,experience_years,loan_amount,loan_amount_per_acre,loan_to_experience_ratio,crop_type,crop_season_risk,irrigation,soil_quality,yield_variance,rainfall_deviation,market_volatility,repayment_history,loan_purpose,default_risk
5.95,13,386719,64994.79,27622.79,maize,low,rainfed,poor,0.1,26,high,good,productive,0
2.99,20,414199,138528.09,19723.76,maize,low,assured,good,0.35,14,high,mixed,consumption,1
5.53,17,293965,53158.23,16331.39,pulses,low,partial,poor,0.29,39,high,good,consumption,1
4.11,9,450935,109716.55,45093.5,pulses,low,assured,poor,0.78,18,medium,mixed,productive,0
5.31,30,182017,34278.15,5871.52,millets,high,partial,poor,0.82,33,high,good,semi,1
1.71,10,19601,11462.57,1781.91,cotton,high,assured,average,0.84,14,medium,poor,semi,1
2.97,4,110707,37275.08,22141.4,wheat,high,assured,average,0.13,20,low,none,consumption,1
3.41,21,164289,48178.59,7467.68,wheat,low,rainfed,poor,0.58,32,low,mixed,semi,0
5.09,3,254939,50086.25,63734.75,maize,low,rainfed,good,0.92,25,low,none,consumption,1
3.84,15,199503,51953.91,12468.94,maize,low,assured,poor,0.47,25,low,poor,productive,0
2.46,6,6706,2726.02,958.0,millets,high,partial,poor,0.59,33,medium,poor,productive,1
4.09,21,149228,36486.06,6783.09,maize,low,partial,average,0.32,19,medium,poor,consumption,0
5.03,6,45224,8990.85,6460.57,rice,low,partial,good,0.34,3,high,poor,consumption,1
4.14,5,169837,41023.43,28306.17,cotton,high,partial,good,0.85,11,high,none,productive,1
3.64,28,454208,124782.42,15662.34,maize,low,rainfed,good,0.31,36,medium,good,semi,1
3.15,21,97316,30893.97,4423.45,pulses,low,assured,average,0.67,9,low,none,productive,0
1.54,0,153847,99900.65,153847.0,maize,low,assured,average,0.75,27,high,good,consumption,1
4.88,7,52720,10803.28,6590.0,rice,low,rainfed,poor,0.12,6,medium,good,consumption,0
3.29,24,254882,77471.73,10195.28,pulses,low,assured,good,0.12,8,low,poor,semi,0
1.14,18,159044,139512.28,8370.74,pulses,low,assured,good,0.27,37,low,mixed,semi,0
3.85,6,15729,4085.45,2247.0,pulses,low,rainfed,good,0.19,16,high,none,productive,0
4.92,8,326179,66296.54,36242.11,maize,low,rainfed,average,0.87,6,high,none,semi,1
4.1,9,303612,74051.71,30361.2,maize,low,partial,poor,0.17,7,high,none,consumption,1
3.75,7,216171,57645.6,27021.38,rice,low,rainfed,average,0.73,13,low,none,productive,0
1.52,23,239228,157386.84,9967.83,cotton,high,partial,poor,0.9,28,high,good,semi,1
5.96,2,474790,79662.75,158263.33,maize,low,assured,good,0.13,6,high,mixed,consumption,1
2.11,19,346502,164218.96,17325.1,millets,high,partial,good,0.75,28,medium,poor,productive,1
3.55,18,332282,93600.56,17488.53,millets,high,assured,average,0.29,17,low,none,productive,0
2.33,9,460903,197812.45,46090.3,pulses,low,partial,average,0.27,12,medium,poor,productive,0
5.03,25,200459,39852.68,7709.96,cotton,low,rainfed,poor,0.85,22,high,mixed,productive,0
4.42,30,331475,74994.34,10692.74,millets,high,partial,average,0.44,38,low,mixed,consumption,0
3.17,15,158665,50052.05,9916.56,pulses,low,assured,poor,0.16,32,high,none,productive,1
0.84,6,481454,573159.52,68779.14,wheat,low,assured,poor,0.51,1,high,poor,semi,1
3.83,15,10665,2784.6,666.56,millets,low,partial,average,0.36,27,low,good,productive,0
3.22,29,153803,47764.91,5126.77,pulses,low,partial,poor,0.81,35,medium,none,productive,1
4.27,5,271906,63678.22,45317.67,maize,low,assured,good,0.82,23,low,good,semi,0
4.59,20,454360,98989.11,21636.19,cotton,low,rainfed,good,0.84,30,medium,mixed,consumption,0
4.72,15,187092,39638.14,11693.25,wheat,low,partial,average,0.45,39,high,good,semi,0
4.33,27,222267,51331.87,7938.11,millets,low,partial,poor,0.7,28,medium,none,productive,0
1.95,1,339170,173933.33,169585.0,pulses,low,assured,good,0.59,3,low,none,semi,1
3.47,27,158477,45670.61,5659.89,cotton,low,rainfed,poor,0.54,34,medium,poor,productive,1
3.72,13,410928,110464.52,29352.0,pulses,low,rainfed,poor,0.42,2,high,none,consumption,1
3.4,12,359267,105666.76,27635.92,pulses,low,rainfed,good,0.68,36,high,none,productive,1
0.88,7,91570,104056.82,11446.25,maize,low,assured,average,0.62,4,high,good,productive,0
3.47,30,295066,85033.43,9518.26,cotton,low,partial,average,0.76,36,medium,good,productive,0
5.11,16,342782,67080.63,20163.65,cotton,high,partial,good,0.71,32,low,none,consumption,1
3.55,16,342146,96379.15,20126.24,wheat,high,partial,good,0.22,11,low,good,productive,0
5.13,18,139312,27156.34,7332.21,rice,low,assured,good,0.11,34,high,none,consumption,1
1.4,23,433999,309999.29,18083.29,wheat,high,rainfed,average,0.48,16,medium,poor,semi,1
5.77,1,105772,18331.37,52886.0,pulses,low,partial,poor,0.77,13,medium,mixed,semi,0
4.96,23,196336,39583.87,8180.67,cotton,low,partial,good,0.64,2,medium,good,semi,0
5.48,7,218754,39918.61,27344.25,rice,low,rainfed,good,0.47,33,low,mixed,productive,0
2.53,27,240157,94923.72,8577.04,wheat,low,rainfed,poor,0.42,20,high,none,productive,1
2.19,17,464204,211965.3,25789.11,pulses,low,rainfed,average,0.12,29,low,poor,semi,1
5.25,12,194713,37088.19,14977.92,maize,low,partial,poor,0.85,33,low,good,semi,0
2.13,29,492316,231134.27,16410.53,pulses,low,partial,poor,0.63,17,low,good,semi,0
3.08,11,489751,159010.06,40812.58,rice,low,rainfed,average,0.8,13,low,good,semi,1
3.29,12,240459,73087.84,18496.85,millets,high,assured,good,0.14,40,low,poor,productive,0
4.09,17,443185,108358.19,24621.39,wheat,high,rainfed,good,0.99,27,high,mixed,semi,1
1.57,4,17632,11230.57,3526.4,wheat,low,partial,poor,0.99,31,high,poor,productive,1
4.84,26,11214,2316.94,415.33,wheat,low,assured,poor,0.98,22,low,good,semi,0
5.09,19,389048,76433.79,19452.4,cotton,high,partial,good,0.53,30,high,none,productive,0
2.25,7,321158,142736.89,40144.75,millets,low,assured,average,0.29,13,high,none,semi,1
1.02,19,456149,447204.9,22807.45,pulses,low,rainfed,good,0.51,8,high,none,consumption,1
3.08,26,419012,136042.86,15518.96,pulses,low,partial,good,0.34,19,high,good,consumption,1
2.51,9,92553,36873.71,9255.3,pulses,low,partial,poor,0.59,16,low,none,consumption,1
5.14,5,136901,26634.44,22816.83,maize,low,rainfed,good,0.19,28,high,poor,productive,0
0.81,27,358001,441976.54,12785.75,wheat,high,rainfed,poor,0.31,5,high,poor,consumption,1
1.67,27,143394,85864.67,5121.21,maize,low,partial,good,0.8,3,low,mixed,productive,0
1.26,21,173588,137768.25,7890.36,maize,low,assured,average,0.35,40,medium,poor,semi,1
5.08,10,190548,37509.45,17322.55,rice,low,assured,good,0.62,24,low,poor,semi,0
1.8,19,208036,115575.56,10401.8,millets,low,partial,average,0.64,31,low,poor,semi,0
4.99,11,299036,59927.05,24919.67,wheat,high,assured,average,0.58,6,low,mixed,consumption,0
1.25,24,330959,264767.2,13238.36,rice,low,assured,poor,0.78,12,medium,mixed,consumption,1
3.29,2,58918,17908.21,19639.33,maize,low,rainfed,good,0.96,29,low,good,productive,0
3.0,6,142296,47432.0,20328.0,maize,low,partial,poor,0.16,30,low,poor,semi,0
5.78,29,369680,63958.48,12322.67,maize,low,assured,poor,0.51,24,low,good,semi,0
4.32,7,283556,65637.96,35444.5,maize,low,rainfed,poor,0.56,32,low,good,consumption,1
5.13,19,381450,74356.73,19072.5,rice,low,rainfed,average,0.91,18,high,poor,productive,1
5.82,6,481033,82651.72,68719.0,maize,low,partial,average,0.74,9,low,none,consumption,1
4.09,30,428639,104801.71,13827.06,cotton,low,assured,good,0.98,34,medium,mixed,consumption,0
0.66,15,81410,123348.48,5088.12,cotton,low,partial,poor,0.71,0,medium,poor,consumption,1
2.61,22,201723,77288.51,8770.57,cotton,low,assured,average,0.11,18,medium,poor,consumption,0
5.95,17,409011,68741.34,22722.83,cotton,high,partial,average,0.96,27,high,good,consumption,1
1.6,2,461061,288163.12,153687.0,millets,high,assured,good,0.69,26,high,mixed,consumption,1
4.51,0,123092,27293.13,123092.0,rice,low,assured,good,0.44,33,low,good,consumption,1
5.6,13,207553,37063.04,14825.21,rice,low,rainfed,poor,0.92,40,medium,good,semi,1
1.58,14,387336,245149.37,25822.4,millets,high,partial,good,0.49,20,medium,poor,semi,1
5.01,17,418536,83540.12,23252.0,pulses,low,assured,average,0.79,19,medium,mixed,semi,0
5.35,27,205480,38407.48,7338.57,pulses,low,assured,poor,0.16,21,low,good,consumption,0
3.58,19,177477,49574.58,8873.85,wheat,high,rainfed,good,0.83,35,medium,poor,semi,1
2.86,4,301093,105277.27,60218.6,rice,low,assured,good,0.3,34,low,mixed,consumption,1
4.9,9,439898,89775.1,43989.8,cotton,high,assured,poor,0.85,21,medium,none,productive,1
1.48,29,134295,90739.86,4476.5,pulses,low,rainfed,good,0.43,27,high,good,productive,0
1.02,13,210872,206737.25,15062.29,maize,low,rainfed,average,0.23,27,low,none,consumption,1
3.16,21,158152,50048.1,7188.73,pulses,low,assured,poor,0.46,20,low,none,semi,0
2.67,23,261156,97811.24,10881.5,pulses,low,rainfed,good,0.12,37,medium,good,semi,0
1.91,14,367540,192429.32,24502.67,millets,low,rainfed,good,0.84,33,medium,good,productive,1
5.35,23,213181,39846.92,8882.54,pulses,low,assured,good,0.44,32,high,good,productive,0
5.83,26,290037,49749.06,10742.11,millets,high,partial,average,0.51,23,low,none,consumption,1
3.71,14,47362,12766.04,3157.47,pulses,low,assured,average,0.8,16,low,mixed,consumption,0
1.27,10,411156,323744.88,37377.82,millets,high,partial,good,0.97,25,low,none,consumption,1
5.93,20,151640,25571.67,7220.95,pulses,low,assured,poor,0.74,17,low,mixed,semi,0
0.76,26,86465,113769.74,3202.41,maize,low,rainfed,good,0.73,31,medium,mixed,productive,0
2.39,11,370619,155070.71,30884.92,millets,low,assured,poor,0.77,33,medium,poor,productive,1
4.56,14,47211,10353.29,3147.4,pulses,low,partial,poor,0.3,40,medium,poor,consumption,1
5.02,23,15234,3034.66,634.75,maize,low,rainfed,poor,0.7,33,low,good,productive,0
2.76,14,467275,169302.54,31151.67,millets,high,rainfed,poor,0.43,1,low,none,consumption,1
5.02,8,89521,17832.87,9946.78,wheat,high,partial,average,0.32,37,medium,none,productive,0
2.57,25,24663,9596.5,948.58,rice,low,rainfed,good,0.71,40,medium,poor,semi,1
3.71,13,160693,43313.48,11478.07,cotton,high,rainfed,poor,0.46,13,low,mixed,semi,0
2.78,7,354785,127620.5,44348.12,wheat,high,rainfed,good,0.53,11,high,good,semi,1
2.0,7,82591,41295.5,10323.88,pulses,low,rainfed,poor,0.68,23,high,poor,productive,1
2.38,17,166699,70041.6,9261.06,cotton,low,partial,average,0.57,0,low,poor,semi,0
3.52,0,61686,17524.43,61686.0,wheat,high,partial,good,0.8,29,medium,none,consumption,1
4.45,6,124369,27948.09,17767.0,millets,low,assured,poor,0.28,32,medium,good,semi,0
3.75,16,438568,116951.47,25798.12,rice,low,assured,poor,0.8,0,medium,poor,consumption,1
1.21,24,412009,340503.31,16480.36,pulses,low,rainfed,good,0.95,40,medium,poor,consumption,1
4.74,8,244908,51668.35,27212.0,pulses,low,assured,average,0.91,30,low,mixed,productive,0
3.77,7,365386,96919.36,45673.25,millets,low,rainfed,good,0.42,17,high,good,productive,0
0.79,5,220723,279396.2,36787.17,maize,low,partial,average,0.51,10,low,mixed,productive,0
5.73,0,194465,33938.05,194465.0,wheat,high,rainfed,poor,0.39,34,medium,good,consumption,1
3.1,26,193571,62442.26,7169.3,wheat,low,partial,good,0.45,24,high,good,productive,0
5.92,15,187514,31674.66,11719.62,maize,low,assured,good,0.16,10,low,poor,productive,0
2.04,26,91467,44836.76,3387.67,maize,low,assured,poor,0.39,26,medium,poor,productive,0
3.09,20,479561,155197.73,22836.24,pulses,low,partial,poor,0.79,13,high,good,semi,1
2.86,14,6226,2176.92,415.07,rice,low,assured,poor,0.63,19,low,poor,productive,0
2.83,27,364568,128822.61,13020.29,pulses,low,rainfed,poor,0.28,28,high,good,semi,1
1.76,8,386413,219552.84,42934.78,millets,low,rainfed,good,0.43,3,low,none,consumption,1
1.15,8,378588,329206.96,42065.33,rice,low,rainfed,good,0.44,39,medium,poor,semi,1
1.01,17,210922,208833.66,11717.89,rice,low,partial,average,0.19,29,medium,mixed,productive,0
5.04,11,201294,39939.29,16774.5,wheat,low,rainfed,good,0.91,21,low,poor,semi,1
4.52,23,345980,76544.25,14415.83,millets,low,partial,good,0.52,40,low,none,productive,0
2.97,19,330802,111381.14,16540.1,wheat,high,assured,average,0.62,9,high,mixed,consumption,0
1.63,14,41848,25673.62,2789.87,cotton,high,rainfed,poor,0.46,32,low,none,semi,1
3.68,8,394918,107314.67,43879.78,cotton,high,assured,average,0.9,21,low,good,productive,0
3.82,7,26282,6880.1,3285.25,pulses,low,assured,good,0.92,18,medium,none,consumption,1
3.91,30,45348,11597.95,1462.84,wheat,high,rainfed,poor,0.21,24,medium,good,consumption,1
6.0,24,190967,31827.83,7638.68,rice,low,rainfed,average,0.55,0,low,mixed,semi,0
1.78,26,375886,211171.91,13921.7,wheat,low,assured,poor,0.58,17,medium,poor,consumption,1
2.4,10,274607,114419.58,24964.27,cotton,low,rainfed,good,0.56,33,low,good,consumption,0
5.38,22,5137,954.83,223.35,rice,low,partial,poor,0.53,22,low,good,semi,0
1.93,6,216130,111984.46,30875.71,rice,low,assured,good,0.77,32,high,good,semi,0
5.49,9,373082,67956.65,37308.2,rice,low,assured,poor,0.3,13,medium,poor,semi,0
2.34,7,448412,191629.06,56051.5,pulses,low,partial,average,0.54,4,high,none,semi,1
5.58,24,167561,30028.85,6702.44,millets,high,rainfed,average,0.84,11,low,none,semi,1
1.0,30,166769,166769.0,5379.65,maize,low,partial,good,0.65,30,high,mixed,productive,0
1.27,30,327971,258244.88,10579.71,maize,low,rainfed,poor,0.24,23,low,mixed,consumption,1
2.39,3,155095,64893.31,38773.75,maize,low,partial,poor,0.64,12,low,none,semi,0
2.32,3,100540,43336.21,25135.0,maize,low,assured,poor,0.61,22,low,good,productive,0
4.11,25,218043,53051.82,8386.27,cotton,high,assured,good,0.42,18,high,none,productive,0
2.64,6,183274,69421.97,26182.0,cotton,high,assured,good,0.62,31,high,mixed,productive,0
3.06,5,357515,116834.97,59585.83,cotton,high,rainfed,poor,0.88,21,high,mixed,consumption,1
4.24,13,105084,24783.96,7506.0,pulses,low,rainfed,good,0.14,16,medium,mixed,productive,0
3.08,4,149452,48523.38,29890.4,wheat,low,partial,good,0.73,16,low,none,consumption,1
3.5,5,95404,27258.29,15900.67,millets,high,partial,poor,0.92,33,medium,good,consumption,1
2.36,18,89964,38120.34,4734.95,cotton,high,rainfed,average,0.98,8,high,poor,semi,1
5.79,14,310698,53661.14,20713.2,cotton,low,partial,good,0.2,37,high,mixed,semi,0
0.59,15,371192,629138.98,23199.5,wheat,high,partial,poor,0.34,40,low,none,semi,1
2.82,13,138170,48996.45,9869.29,rice,low,rainfed,average,0.91,18,low,mixed,productive,0
4.87,4,122268,25106.37,24453.6,wheat,low,rainfed,good,0.9,31,low,none,productive,1
5.75,10,23139,4024.17,2103.55,maize,low,partial,poor,0.26,0,low,poor,productive,0
5.96,5,336409,56444.46,56068.17,wheat,high,assured,poor,0.23,10,medium,mixed,semi,0
2.63,14,136908,52056.27,9127.2,millets,high,assured,good,0.68,14,high,poor,semi,1
3.78,7,485828,128525.93,60728.5,maize,low,assured,good,0.98,6,medium,mixed,productive,1
1.53,6,99078,64756.86,14154.0,millets,high,assured,good,0.39,32,medium,poor,productive,0
2.23,13,153499,68833.63,10964.21,wheat,low,rainfed,poor,0.81,14,high,none,semi,1
5.09,13,76927,15113.36,5494.79,rice,low,assured,good,0.32,16,low,none,consumption,0
2.65,7,88741,33487.17,11092.62,maize,low,assured,good,0.68,28,medium,poor,semi,0
1.94,16,136551,70387.11,8032.41,rice,low,assured,average,0.98,11,medium,poor,semi,0
0.88,4,261729,297419.32,52345.8,pulses,low,rainfed,average,0.86,28,high,good,consumption,1
4.85,11,435752,89845.77,36312.67,pulses,low,assured,poor,0.62,24,low,none,productive,0
0.77,17,57201,74287.01,3177.83,millets,high,partial,average,0.66,27,low,good,consumption,0
5.39,20,341347,63329.68,16254.62,rice,low,assured,good,0.23,1,high,mixed,consumption,0
3.48,12,179651,51623.85,13819.31,rice,low,partial,poor,0.85,17,low,none,productive,0
3.84,7,420403,109479.95,52550.38,pulses,low,rainfed,good,0.61,8,low,poor,consumption,1
4.5,25,399629,88806.44,15370.35,wheat,high,rainfed,average,0.53,4,high,poor,semi,1
5.06,0,144669,28590.71,144669.0,cotton,low,partial,poor,0.5,39,medium,none,productive,1
1.9,25,410590,216100.0,15791.92,cotton,high,rainfed,poor,0.41,12,high,good,semi,1
3.5,27,72881,20823.14,2602.89,maize,low,rainfed,average,0.51,0,low,mixed,semi,0
2.92,12,60348,20667.12,4642.15,rice,low,assured,good,0.63,20,low,mixed,productive,0
4.51,19,43102,9556.98,2155.1,pulses,low,partial,good,0.25,34,medium,poor,consumption,1
4.57,28,255223,55847.48,8800.79,rice,low,partial,average,0.26,4,medium,none,consumption,0
1.96,8,132670,67688.78,14741.11,rice,low,assured,poor,0.37,8,low,mixed,semi,0
4.09,30,353069,86324.94,11389.32,rice,low,rainfed,average,0.34,38,medium,mixed,consumption,0
1.7,24,319178,187751.76,12767.12,cotton,high,partial,good,0.53,33,high,poor,consumption,1
0.88,5,442333,502651.14,73722.17,rice,low,rainfed,average,0.67,29,medium,poor,productive,1
2.08,10,100693,48410.1,9153.91,rice,low,partial,good,0.13,7,medium,good,semi,0
4.72,25,303968,64400.0,11691.08,pulses,low,partial,poor,0.3,29,low,good,productive,0
5.95,28,267304,44925.04,9217.38,pulses,low,rainfed,good,0.86,20,low,mixed,consumption,0
5.31,9,454363,85567.42,45436.3,cotton,high,partial,good,0.72,1,high,good,semi,0
4.43,9,19395,4378.1,1939.5,cotton,high,partial,average,0.83,36,medium,mixed,productive,0
1.32,14,6577,4982.58,438.47,rice,low,partial,good,0.59,3,high,mixed,productive,0
5.55,17,333859,60154.77,18547.72,pulses,low,assured,good,0.21,16,low,good,productive,0
1.06,22,448588,423196.23,19503.83,maize,low,rainfed,poor,0.37,35,medium,mixed,semi,1
3.0,19,233262,77754.0,11663.1,rice,low,assured,good,0.47,1,high,none,productive,0
2.15,3,22730,10572.09,5682.5,millets,low,rainfed,poor,0.4,16,medium,good,semi,0
4.19,11,158893,37921.96,13241.08,cotton,low,partial,poor,0.9,2,low,mixed,productive,0
2.4,3,95167,39652.92,23791.75,maize,low,partial,average,0.88,34,low,none,productive,0
2.03,0,441129,217304.93,441129.0,pulses,low,assured,poor,0.45,26,high,good,consumption,1
5.9,12,341127,57818.14,26240.54,millets,low,assured,good,0.94,14,medium,poor,productive,0
4.96,11,123096,24817.74,10258.0,wheat,high,partial,good,0.95,18,high,mixed,semi,0
2.07,7,280784,135644.44,35098.0,millets,high,assured,poor,0.96,23,low,mixed,semi,1
4.53,5,2547,562.25,424.5,maize,low,assured,good,0.31,16,high,poor,consumption,1
3.88,30,106900,27551.55,3448.39,cotton,low,rainfed,average,0.33,18,medium,good,consumption,0
2.99,25,43862,14669.57,1687.0,rice,low,rainfed,average,0.1,40,high,mixed,productive,0
4.01,0,151779,37850.12,151779.0,rice,low,assured,good,0.4,12,high,good,semi,1
0.73,14,248366,340227.4,16557.73,millets,high,assured,good,0.59,20,low,good,semi,1
5.74,16,55324,9638.33,3254.35,millets,high,partial,poor,0.81,38,low,mixed,consumption,1
1.55,10,180330,116341.94,16393.64,millets,low,partial,good,0.84,35,medium,none,consumption,1
5.26,29,82691,15720.72,2756.37,maize,low,partial,good,0.22,24,high,mixed,productive,0
5.48,4,19234,3509.85,3846.8,wheat,high,rainfed,average,0.9,38,low,good,consumption,1
1.0,23,2514,2514.0,104.75,millets,low,assured,average,0.49,28,high,mixed,productive,0
1.39,1,118355,85147.48,59177.5,cotton,low,partial,poor,0.93,11,high,mixed,productive,0
3.47,17,258173,74401.44,14342.94,millets,low,assured,average,0.83,23,medium,poor,semi,0
3.25,1,256053,78785.54,128026.5,cotton,high,rainfed,average,0.31,30,low,poor,consumption,1
2.83,26,312889,110561.48,11588.48,wheat,low,assured,good,0.23,18,high,good,semi,0
1.01,13,412451,408367.33,29460.79,pulses,low,partial,average,0.18,0,medium,none,semi,1
1.89,0,287792,152270.9,287792.0,millets,high,partial,average,0.74,9,low,mixed,semi,1
2.53,24,81251,32115.02,3250.04,millets,low,rainfed,average,0.94,3,low,poor,productive,0
5.92,28,215436,36391.22,7428.83,rice,low,assured,average,0.58,22,high,good,productive,0
3.03,21,124145,40971.95,5642.95,maize,low,assured,poor,0.56,10,medium,good,consumption,0
4.03,17,293633,72861.79,16312.94,millets,low,partial,average,0.66,12,high,poor,semi,0
5.63,6,31867,5660.21,4552.43,wheat,high,partial,poor,0.82,40,low,none,productive,1
2.11,23,139801,66256.4,5825.04,pulses,low,rainfed,good,0.88,3,high,poor,semi,1
2.0,27,446087,223043.5,15931.68,maize,low,assured,average,0.56,16,high,mixed,productive,0
5.58,21,123027,22047.85,5592.14,cotton,low,assured,poor,0.14,37,medium,mixed,consumption,0
2.68,2,157295,58692.16,52431.67,cotton,high,partial,good,0.85,24,medium,poor,productive,0
5.88,26,148271,25216.16,5491.52,rice,low,rainfed,average,0.54,35,high,good,consumption,1
4.25,10,455931,107277.88,41448.27,cotton,high,partial,average,0.7,33,low,mixed,productive,0
4.31,29,112986,26214.85,3766.2,rice,low,rainfed,good,0.15,14,high,mixed,productive,0
5.74,13,493229,85928.4,35230.64,maize,low,partial,poor,0.52,9,low,none,semi,0
0.83,1,145789,175649.4,72894.5,millets,low,assured,good,0.32,39,medium,good,productive,1
1.27,14,151791,119520.47,10119.4,millets,low,assured,average,0.91,38,medium,good,consumption,0
0.63,11,40095,63642.86,3341.25,rice,low,rainfed,average,0.24,7,high,mixed,semi,0
3.98,3,239413,60154.02,59853.25,rice,low,assured,good,0.32,19,medium,none,productive,0
3.67,18,85798,23378.2,4515.68,millets,low,rainfed,good,0.56,15,low,poor,productive,0
3.59,11,121640,33883.01,10136.67,wheat,low,rainfed,average,0.42,18,medium,good,consumption,0
4.77,29,368081,77165.83,12269.37,pulses,low,rainfed,poor,0.45,4,medium,good,consumption,0
3.83,21,336508,87861.1,15295.82,rice,low,rainfed,poor,0.73,2,low,good,semi,0
4.53,23,341215,75323.4,14217.29,maize,low,assured,poor,0.77,30,medium,poor,productive,0
5.1,22,491286,96330.59,21360.26,maize,low,assured,good,0.3,4,low,mixed,semi,0
1.73,18,356192,205891.33,18746.95,pulses,low,rainfed,average,0.97,24,high,none,consumption,1
3.14,18,129237,41158.28,6801.95,pulses,low,assured,average,0.47,32,medium,good,consumption,0
1.25,6,284391,227512.8,40627.29,millets,low,assured,poor,0.83,30,high,good,consumption,1
2.19,0,257142,117416.44,257142.0,wheat,high,partial,average,0.97,2,medium,poor,semi,1
3.56,20,462643,129955.9,22030.62,pulses,low,rainfed,good,0.26,37,high,none,consumption,1
2.33,24,240381,103167.81,9615.24,cotton,low,partial,good,0.85,13,high,good,consumption,0
3.62,30,73276,20241.99,2363.74,cotton,high,rainfed,good,0.44,18,medium,none,productive,0
0.85,1,410829,483328.24,205414.5,maize,low,assured,good,0.23,22,medium,good,semi,1
3.79,9,393005,103695.25,39300.5,rice,low,assured,good,0.92,7,low,none,semi,0
2.48,16,476007,191938.31,28000.41,rice,low,assured,average,0.79,40,medium,good,consumption,1
2.31,14,94968,41111.69,6331.2,millets,low,rainfed,average,0.77,9,high,none,semi,1
4.15,30,251227,60536.63,8104.1,cotton,low,partial,good,0.13,4,high,good,semi,0
1.73,20,328549,189912.72,15645.19,wheat,high,assured,good,0.64,20,medium,mixed,semi,0
2.94,7,366310,124595.24,45788.75,rice,low,rainfed,average,0.55,37,medium,mixed,consumption,1
4.19,30,146903,35060.38,4738.81,pulses,low,assured,poor,0.23,28,low,good,consumption,0
3.48,3,445129,127910.63,111282.25,rice,low,assured,average,0.95,11,low,none,productive,1
3.34,11,15761,4718.86,1313.42,millets,high,rainfed,poor,0.7,10,medium,poor,productive,1
4.43,29,368312,83140.41,12277.07,rice,low,rainfed,poor,0.56,16,medium,none,productive,0
4.44,21,178260,40148.65,8102.73,millets,low,assured,good,0.45,34,high,good,productive,0
5.98,0,321596,53778.6,321596.0,millets,low,assured,average,0.81,12,low,none,productive,1
1.43,17,147935,103451.05,8218.61,rice,low,rainfed,average,0.22,23,medium,mixed,productive,0
5.6,1,331842,59257.5,165921.0,maize,low,partial,poor,0.23,40,low,poor,consumption,1
0.63,4,308869,490268.25,61773.8,wheat,low,partial,poor,0.6,30,low,none,consumption,1
0.87,11,43377,49858.62,3614.75,millets,low,rainfed,poor,0.87,24,high,good,productive,1
5.63,7,36042,6401.78,4505.25,maize,low,rainfed,poor,0.31,1,low,mixed,productive,0
0.89,11,71954,80847.19,5996.17,cotton,low,assured,average,0.55,24,high,none,consumption,1
2.86,18,128314,44865.03,6753.37,maize,low,rainfed,poor,0.9,28,low,none,consumption,1
2.66,14,257342,96745.11,17156.13,maize,low,assured,poor,0.8,34,low,mixed,consumption,1
5.95,11,348701,58605.21,29058.42,rice,low,rainfed,average,0.74,15,low,mixed,consumption,0
5.22,22,61010,11687.74,2652.61,maize,low,partial,average,0.23,13,medium,mixed,semi,0
3.81,18,263362,69123.88,13861.16,millets,low,partial,good,0.5,6,high,mixed,consumption,0
3.43,7,89307,26037.03,11163.38,millets,low,partial,average,0.87,11,medium,good,consumption,0
5.39,24,48170,8936.92,1926.8,maize,low,partial,poor,0.33,11,low,none,consumption,1
4.27,22,253845,59448.48,11036.74,millets,low,partial,good,0.3,5,high,poor,consumption,1
3.77,24,144399,38302.12,5775.96,wheat,low,rainfed,good,0.7,24,low,good,productive,0
4.67,21,402701,86231.48,18304.59,rice,low,partial,average,0.95,37,low,none,productive,0
2.61,5,469616,179929.5,78269.33,pulses,low,assured,good,0.88,8,low,good,semi,1
1.38,6,244097,176881.88,34871.0,wheat,low,rainfed,average,0.7,28,medium,none,consumption,1
0.83,7,134492,162038.55,16811.5,wheat,high,partial,average,0.26,32,high,good,consumption,1
1.24,9,382710,308637.1,38271.0,pulses,low,assured,poor,0.89,5,high,mixed,semi,1
2.86,24,334197,116852.1,13367.88,rice,low,assured,average,0.35,37,high,mixed,semi,0
4.57,10,247335,54121.44,22485.0,maize,low,assured,average,0.7,40,high,good,semi,0
4.02,9,274114,68187.56,27411.4,cotton,low,rainfed,average,0.37,19,low,poor,semi,0
4.36,11,161806,37111.47,13483.83,millets,low,rainfed,poor,0.98,11,low,poor,consumption,1
4.58,0,19260,4205.24,19260.0,wheat,low,assured,poor,0.47,7,low,mixed,consumption,0
5.98,27,325291,54396.49,11617.54,wheat,low,rainfed,average,0.38,16,low,mixed,consumption,0
3.08,23,160562,52130.52,6690.08,pulses,low,partial,poor,0.54,25,high,good,productive,0
5.41,4,445994,82438.82,89198.8,cotton,low,assured,good,0.95,23,medium,poor,productive,1
4.61,7,410592,89065.51,51324.0,pulses,low,assured,poor,0.6,40,high,poor,semi,1
1.47,25,81420,55387.76,3131.54,cotton,low,partial,poor,0.93,35,high,poor,consumption,1
3.92,1,204317,52121.68,102158.5,wheat,low,rainfed,poor,1.0,14,medium,good,productive,1
2.8,29,427921,152828.93,14264.03,cotton,low,rainfed,good,0.4,23,medium,poor,consumption,1
5.18,29,405814,78342.47,13527.13,wheat,low,rainfed,poor,0.46,3,low,good,semi,0
3.58,6,424307,118521.51,60615.29,wheat,low,rainfed,poor,0.13,29,medium,none,productive,1
